FIPSCd,CountyName,StateCd,UnemploymentPct,PovertyPct,EducBachlOrHigherPct,PercentDem,PercentRep
37159.0,,,0.047,0.153,0.184,30.5,67.2
37161.0,,,0.06,0.161,0.17300000000000001,25.0,72.9
37163.0,,,0.047,0.207,0.125,40.9,57.6
37165.0,,,0.076,0.264,0.159,53.0,45.2
37167.0,,,0.040999999999999995,0.12400000000000001,0.165,23.8,74.0
37169.0,,,0.042,0.141,0.139,20.9,76.5
37171.0,,,0.040999999999999995,0.161,0.165,23.5,74.2
37173.0,,,0.05,0.158,0.15,36.5,59.5
37175.0,,,0.043,0.152,0.299,37.4,59.9
37177.0,,,0.076,0.244,0.076,41.5,56.9
37179.0,,,0.04,0.091,0.34,32.9,64.0
37181.0,,,0.062000000000000006,0.23399999999999999,0.121,61.6,37.0
37183.0,,,0.039,0.08900000000000001,0.51,58.4,37.9
37185.0,,,0.068,0.209,0.158,65.9,32.6
37187.0,,,0.065,0.24800000000000003,0.091,57.1,41.9
37189.0,,,0.04,0.20500000000000002,0.41700000000000004,48.5,47.0
37191.0,,,0.05,0.203,0.197,43.2,54.9
37193.0,,,0.042,0.185,0.154,21.4,76.6
37195.0,,,0.07200000000000001,0.18100000000000002,0.188,51.9,46.3
37197.0,,,0.039,0.134,0.12,18.1,79.6
37199.0,,,0.045,0.165,0.197,32.4,64.9
38001.0,,,0.025,0.095,0.27399999999999997,17.9,75.0
38003.0,,,0.027999999999999997,0.107,0.258,30.4,60.1
38005.0,,,0.036000000000000004,0.284,0.154,43.4,47.8
38007.0,,,0.03,0.092,0.231,9.8,83.1
38009.0,,,0.033,0.1,0.219,21.4,72.2
38011.0,,,0.018000000000000002,0.084,0.245,12.8,81.7
38013.0,,,0.031000000000000003,0.091,0.201,11.4,85.3
38015.0,,,0.025,0.073,0.35100000000000003,23.2,69.3
38017.0,,,0.021,0.086,0.383,39.7,50.4
38019.0,,,0.027000000000000003,0.096,0.188,24.2,68.9
38021.0,,,0.018000000000000002,0.105,0.276,23.2,69.8
38023.0,,,0.016,0.1,0.19399999999999998,20.5,72.5
38025.0,,,0.022000000000000002,0.105,0.23,16.2,79.7
38027.0,,,0.047,0.106,0.233,29.0,64.8
38029.0,,,0.04,0.139,0.155,11.0,85.3
38031.0,,,0.025,0.08,0.237,20.4,72.8
38033.0,,,0.02,0.106,0.22,10.5,84.2
38035.0,,,0.022000000000000002,0.14800000000000002,0.34,36.4,54.9
38037.0,,,0.03,0.153,0.182,13.7,80.7
38039.0,,,0.028999999999999998,0.087,0.226,23.9,67.9
38041.0,,,0.02,0.11800000000000001,0.145,13.3,81.8
38043.0,,,0.036000000000000004,0.131,0.192,13.2,81.4
38045.0,,,0.019,0.10300000000000001,0.23199999999999998,23.6,69.7
38047.0,,,0.026000000000000002,0.131,0.13699999999999998,10.9,84.2
38049.0,,,0.043,0.111,0.196,17.6,74.1
38051.0,,,0.026000000000000002,0.12,0.172,16.4,77.0
38053.0,,,0.025,0.085,0.253,15.2,79.7
38055.0,,,0.032,0.091,0.187,20.6,73.5
38057.0,,,0.040999999999999995,0.062000000000000006,0.227,13.5,81.4
38059.0,,,0.031000000000000003,0.083,0.261,19.8,72.8
38061.0,,,0.021,0.09699999999999999,0.217,30.2,63.6
38063.0,,,0.031000000000000003,0.109,0.20500000000000002,31.6,60.5
38065.0,,,0.042,0.094,0.196,11.9,82.5
38067.0,,,0.042,0.083,0.20199999999999999,22.0,71.3
38069.0,,,0.032,0.11800000000000001,0.158,21.3,70.9
38071.0,,,0.027000000000000003,0.12300000000000001,0.247,28.8,61.6
38073.0,,,0.02,0.076,0.19100000000000003,36.1,52.2
38075.0,,,0.026000000000000002,0.079,0.162,15.9,77.9
38077.0,,,0.024,0.1,0.222,27.7,63.8
38079.0,,,0.105,0.271,0.207,57.3,33.0
38081.0,,,0.021,0.077,0.18600000000000003,35.0,55.0
38083.0,,,0.045,0.163,0.141,12.1,83.2
38085.0,,,0.038,0.359,0.17300000000000001,64.4,21.8
38087.0,,,0.021,0.121,0.268,9.8,84.5
38089.0,,,0.027000000000000003,0.09,0.23800000000000002,14.4,80.2
38091.0,,,0.017,0.078,0.256,36.7,54.6
38093.0,,,0.024,0.09699999999999999,0.24,25.0,67.5
38095.0,,,0.026000000000000002,0.10099999999999999,0.18100000000000002,26.8,64.5
38097.0,,,0.025,0.077,0.261,32.1,58.6
38099.0,,,0.034,0.10300000000000001,0.168,25.7,65.8
38101.0,,,0.033,0.10099999999999999,0.27899999999999997,21.6,69.2
38103.0,,,0.033,0.10800000000000001,0.22899999999999998,17.8,76.2
38105.0,,,0.025,0.066,0.226,13.7,80.1
39001.0,,,0.071,0.18600000000000003,0.121,20.7,76.3
39003.0,,,0.05,0.152,0.177,28.7,66.9
